"Date(UTC)","UnixTimeStamp","No. of Deployed Contracts"
"2017-02-20","1487548800","293"
"2017-02-21","1487635200","1017"
"2017-02-22","1487721600","480"
"2017-02-23","1487808000","330"
"2017-02-24","1487894400","226"
"2017-02-25","1487980800","115"
"2017-02-26","1488067200","143"
"2017-02-27","1488153600","233"
"2017-02-28","1488240000","212"
"2017-03-01","1488326400","1214"
"2017-03-02","1488412800","406"
"2017-03-03","1488499200","517"
"2017-03-04","1488585600","113"
"2017-03-05","1488672000","580"
"2017-03-06","1488758400","119"
"2017-03-07","1488844800","107"
"2017-03-08","1488931200","158"
"2017-03-09","1489017600","216"
"2017-03-10","1489104000","1067"
"2017-03-11","1489190400","156"
"2017-03-12","1489276800","165"
"2017-03-13","1489363200","520"
"2017-03-14","1489449600","1013"
"2017-03-15","1489536000","1087"
"2017-03-16","1489622400","1494"
"2017-03-17","1489708800","429"
"2017-03-18","1489795200","242"
"2017-03-19","1489881600","235"
"2017-03-20","1489968000","406"
"2017-03-21","1490054400","476"
"2017-03-22","1490140800","697"
"2017-03-23","1490227200","546"
"2017-03-24","1490313600","1035"
"2017-03-25","1490400000","261"
"2017-03-26","1490486400","275"
"2017-03-27","1490572800","3121"
"2017-03-28","1490659200","530"
"2017-03-29","1490745600","379"
"2017-03-30","1490832000","833"
"2017-03-31","1490918400","831"
"2017-04-01","1491004800","623"
"2017-04-02","1491091200","556"
"2017-04-03","1491177600","885"
"2017-04-04","1491264000","1007"
"2017-04-05","1491350400","1576"
"2017-04-06","1491436800","1087"
"2017-04-07","1491523200","925"
"2017-04-08","1491609600","1004"
"2017-04-09","1491696000","709"
"2017-04-10","1491782400","693"
"2017-04-11","1491868800","318"
"2017-04-12","1491955200","3298"
"2017-04-13","1492041600","246"
"2017-04-14","1492128000","769"
"2017-04-15","1492214400","423"
"2017-04-16","1492300800","310"
"2017-04-17","1492387200","720"
"2017-04-18","1492473600","1190"
"2017-04-19","1492560000","1027"
"2017-04-20","1492646400","1654"
"2017-04-21","1492732800","5039"
"2017-04-22","1492819200","2034"
"2017-04-23","1492905600","604"
"2017-04-24","1492992000","1737"
"2017-04-25","1493078400","1049"
"2017-04-26","1493164800","2745"
"2017-04-27","1493251200","3698"
"2017-04-28","1493337600","1178"
"2017-04-29","1493424000","813"
"2017-04-30","1493510400","1230"
"2017-05-01","1493596800","2756"
"2017-05-02","1493683200","3268"
"2017-05-03","1493769600","654"
"2017-05-04","1493856000","2462"
"2017-05-05","1493942400","1164"
"2017-05-06","1494028800","3296"
"2017-05-07","1494115200","4734"
"2017-05-08","1494201600","2204"
"2017-05-09","1494288000","4737"
"2017-05-10","1494374400","5653"
"2017-05-11","1494460800","3914"
"2017-05-12","1494547200","3831"
"2017-05-13","1494633600","3800"
"2017-05-14","1494720000","3784"
"2017-05-15","1494806400","5121"
"2017-05-16","1494892800","6169"
"2017-05-17","1494979200","5175"
"2017-05-18","1495065600","5800"
"2017-05-19","1495152000","6706"
"2017-05-20","1495238400","7073"
"2017-05-21","1495324800","6070"
"2017-05-22","1495411200","7208"
"2017-05-23","1495497600","12472"
"2017-05-24","1495584000","14019"
"2017-05-25","1495670400","9942"
"2017-05-26","1495756800","8765"
"2017-05-27","1495843200","7667"
"2017-05-28","1495929600","8154"
"2017-05-29","1496016000","7955"
"2017-05-30","1496102400","16234"
"2017-05-31","1496188800","7834"
"2017-06-01","1496275200","8927"
"2017-06-02","1496361600","14981"
"2017-06-03","1496448000","9131"
"2017-06-04","1496534400","11319"
"2017-06-05","1496620800","7719"
"2017-06-06","1496707200","10724"
"2017-06-07","1496793600","13320"
"2017-06-08","1496880000","8928"
"2017-06-09","1496966400","8778"
"2017-06-10","1497052800","7447"
"2017-06-11","1497139200","14937"
"2017-06-12","1497225600","9677"
"2017-06-13","1497312000","9253"
"2017-06-14","1497398400","9086"
"2017-06-15","1497484800","8821"
"2017-06-16","1497571200","9020"
"2017-06-17","1497657600","7594"
"2017-06-18","1497744000","11150"
"2017-06-19","1497830400","12759"
"2017-06-20","1497916800","4997"
"2017-06-21","1498003200","3135"
"2017-06-22","1498089600","12377"
"2017-06-23","1498176000","11508"
"2017-06-24","1498262400","9510"
"2017-06-25","1498348800","14153"
"2017-06-26","1498435200","7235"
"2017-06-27","1498521600","5464"
"2017-06-28","1498608000","11675"
"2017-06-29","1498694400","11724"
"2017-06-30","1498780800","14528"
"2017-07-01","1498867200","8084"
"2017-07-02","1498953600","7602"
"2017-07-03","1499040000","15726"
"2017-07-04","1499126400","9592"
"2017-07-05","1499212800","12699"
"2017-07-06","1499299200","5641"
"2017-07-07","1499385600","9354"
"2017-07-08","1499472000","12971"
"2017-07-09","1499558400","9781"
"2017-07-10","1499644800","3725"
"2017-07-11","1499731200","5003"
"2017-07-12","1499817600","7063"
"2017-07-13","1499904000","19105"
"2017-07-14","1499990400","5378"
"2017-07-15","1500076800","3496"
"2017-07-16","1500163200","4680"
"2017-07-17","1500249600","11696"
"2017-07-18","1500336000","19540"
"2017-07-19","1500422400","6169"
"2017-07-20","1500508800","13525"
"2017-07-21","1500595200","12000"
"2017-07-22","1500681600","7280"
"2017-07-23","1500768000","9757"
"2017-07-24","1500854400","9831"
"2017-07-25","1500940800","13419"
"2017-07-26","1501027200","10863"
"2017-07-27","1501113600","4938"
"2017-07-28","1501200000","4523"
"2017-07-29","1501286400","5216"
"2017-07-30","1501372800","10391"
"2017-07-31","1501459200","10041"
"2017-08-01","1501545600","14526"
"2017-08-02","1501632000","10282"
"2017-08-03","1501718400","14877"
"2017-08-04","1501804800","8386"
"2017-08-05","1501891200","8125"
"2017-08-06","1501977600","14189"
"2017-08-07","1502064000","17586"
"2017-08-08","1502150400","14234"
"2017-08-09","1502236800","14680"
"2017-08-10","1502323200","13351"
"2017-08-11","1502409600","15378"
"2017-08-12","1502496000","19174"
"2017-08-13","1502582400","22354"
"2017-08-14","1502668800","28399"
"2017-08-15","1502755200","31559"
"2017-08-16","1502841600","8014"
"2017-08-17","1502928000","15951"
"2017-08-18","1503014400","16628"
"2017-08-19","1503100800","24233"
"2017-08-20","1503187200","26455"
"2017-08-21","1503273600","15227"
"2017-08-22","1503360000","17466"
"2017-08-23","1503446400","17339"
"2017-08-24","1503532800","8834"
"2017-08-25","1503619200","5677"
"2017-08-26","1503705600","9350"
"2017-08-27","1503792000","12596"
"2017-08-28","1503878400","10875"
"2017-08-29","1503964800","13511"
"2017-08-30","1504051200","13844"
"2017-08-31","1504137600","15239"
"2017-09-01","1504224000","14448"
"2017-09-02","1504310400","14516"
"2017-09-03","1504396800","15057"
"2017-09-04","1504483200","11551"
"2017-09-05","1504569600","12660"
"2017-09-06","1504656000","9959"
"2017-09-07","1504742400","15892"
"2017-09-08","1504828800","15407"
"2017-09-09","1504915200","18534"
"2017-09-10","1505001600","15710"
"2017-09-11","1505088000","16861"
"2017-09-12","1505174400","7348"
"2017-09-13","1505260800","11185"
"2017-09-14","1505347200","7531"
"2017-09-15","1505433600","4525"
"2017-09-16","1505520000","14897"
"2017-09-17","1505606400","12714"
"2017-09-18","1505692800","9074"
"2017-09-19","1505779200","8576"
"2017-09-20","1505865600","30307"
"2017-09-21","1505952000","28809"
"2017-09-22","1506038400","7151"
"2017-09-23","1506124800","7269"
"2017-09-24","1506211200","5759"
"2017-09-25","1506297600","8391"
"2017-09-26","1506384000","26058"
"2017-09-27","1506470400","24147"
"2017-09-28","1506556800","17360"
"2017-09-29","1506643200","8300"
"2017-09-30","1506729600","11879"
"2017-10-01","1506816000","6987"
"2017-10-02","1506902400","11152"
"2017-10-03","1506988800","13534"
"2017-10-04","1507075200","12859"
"2017-10-05","1507161600","2109"
"2017-10-06","1507248000","2926"
"2017-10-07","1507334400","6057"
"2017-10-08","1507420800","10760"
